Timestamp (s), Actor Name
104.20, dataset_images\Salman_Khan\salman-khan1
104.40, dataset_images\Salman_Khan\salman-khan1
104.60, dataset_images\Salman_Khan\salman-khan1
104.80, dataset_images\Salman_Khan\salman-khan1
105.00, dataset_images\Salman_Khan\salman-khan1
105.20, dataset_images\Salman_Khan\salman-khan1
105.40, dataset_images\Salman_Khan\salman-khan1
105.60, dataset_images\Salman_Khan\salman-khan1
105.80, dataset_images\Salman_Khan\salman-khan1
106.00, dataset_images\Salman_Khan\salman-khan1
106.20, dataset_images\Salman_Khan\salman-khan1
106.40, dataset_images\Govinda\Govinda1
106.60, dataset_images\Govinda\Govinda1
106.80, dataset_images\Salman_Khan\salman-khan1
107.00, dataset_images\Salman_Khan\salman-khan1
107.20, dataset_images\Salman_Khan\salman-khan1
107.40, dataset_images\Salman_Khan\salman-khan1
107.60, dataset_images\Salman_Khan\salman-khan1
107.80, dataset_images\Salman_Khan\salman-khan1
108.00, dataset_images\Salman_Khan\salman-khan1
108.20, dataset_images\Salman_Khan\salman-khan1
108.40, dataset_images\Salman_Khan\salman-khan1
108.60, dataset_images\Salman_Khan\salman-khan1
108.80, dataset_images\Salman_Khan\salman-khan1
109.00, dataset_images\Salman_Khan\salman-khan1
109.20, dataset_images\Salman_Khan\salman-khan1
109.40, dataset_images\Salman_Khan\salman-khan1
109.60, dataset_images\Salman_Khan\salman-khan1
109.80, dataset_images\Salman_Khan\salman-khan1
110.00, dataset_images\Salman_Khan\salman-khan1
110.20, dataset_images\Salman_Khan\salman-khan1
110.40, dataset_images\Salman_Khan\salman-khan1
110.60, dataset_images\katrina_kaif\Katrina_Kaif
110.80, dataset_images\katrina_kaif\Katrina_Kaif
111.00, dataset_images\katrina_kaif\Katrina_Kaif
111.20, dataset_images\katrina_kaif\Katrina_Kaif
111.40, dataset_images\katrina_kaif\Katrina_Kaif
111.60, dataset_images\katrina_kaif\Katrina_Kaif
111.80, dataset_images\katrina_kaif\Katrina_Kaif
112.00, dataset_images\katrina_kaif\Katrina_Kaif
112.20, dataset_images\Salman_Khan\salman-khan1
112.40, dataset_images\Salman_Khan\salman-khan1
112.60, dataset_images\Salman_Khan\salman-khan1
112.80, dataset_images\Salman_Khan\salman-khan1
113.20, dataset_images\Salman_Khan\salman-khan1
113.60, dataset_images\Salman_Khan\salman-khan1
113.80, dataset_images\Salman_Khan\salman-khan1
114.00, dataset_images\Salman_Khan\salman-khan1
114.20, dataset_images\Salman_Khan\salman-khan1
114.40, dataset_images\Salman_Khan\salman-khan1
114.60, dataset_images\Salman_Khan\salman-khan1
114.80, dataset_images\Salman_Khan\salman-khan1
